epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.908,1.0712,2.71352,1.26414,0.00684,1,0.58241,0.44548,0.69562,3.19928,0.87432,0.00062,0.00062,0.00062
2,225.259,1.11582,2.13577,1.19017,0.19641,0.2,0.20946,0.14578,1.44068,3.78388,1.46155,0.00123505,0.00123505,0.00123505
3,340.804,1.02046,1.60796,1.14634,0.54605,0.4,0.29475,0.17225,1.47679,3.5607,1.54095,0.00182476,0.00182476,0.00182476
4,446.524,0.91938,1.49161,1.09076,0.60913,0.3,0.46251,0.24265,1.68118,3.54232,1.56263,0.0018812,0.0018812,0.0018812
5,565.468,0.8503,1.38968,1.05217,0.67495,0.9,0.83173,0.37782,1.66068,2.78981,1.45313,0.0018416,0.0018416,0.0018416
6,669.057,0.78222,1.12067,1.02249,0.74492,0.6,0.7211,0.46248,1.28868,2.3082,1.19379,0.001802,0.001802,0.001802
7,779.878,0.72668,0.94365,0.99986,0.97105,0.6,0.78747,0.48277,1.30079,1.36275,1.18454,0.0017624,0.0017624,0.0017624
8,896.044,0.72568,0.86579,0.97975,0.85266,0.4,0.69571,0.36849,1.75401,2.36175,1.61092,0.0017228,0.0017228,0.0017228
9,1036.2,0.61739,0.74458,0.9555,0.81135,0.7,0.76705,0.53014,1.26281,1.1823,1.21708,0.0016832,0.0016832,0.0016832
10,1166.34,0.57272,0.62718,0.92357,0.71384,0.49907,0.57783,0.40771,1.43187,1.48722,1.25575,0.0016436,0.0016436,0.0016436
11,1282.04,0.56499,0.59093,0.9126,0.44282,0.16569,0.30451,0.12244,1.83356,3.09002,1.74907,0.001604,0.001604,0.001604
12,1397.83,0.5967,0.56584,0.93562,0.95672,0.4,0.51937,0.42865,1.1065,1.3554,1.1207,0.0015644,0.0015644,0.0015644
13,1522.21,0.60165,0.53669,0.92352,0.78687,0.5,0.60167,0.47267,0.94387,1.72479,1.03751,0.0015248,0.0015248,0.0015248
14,1629.52,0.60274,0.53067,0.93905,0.68454,0.5,0.59682,0.429,1.24683,1.66778,1.26008,0.0014852,0.0014852,0.0014852
15,1737.13,0.60743,0.52106,0.94436,0.84598,0.6,0.74833,0.45285,1.62777,1.47341,1.56679,0.0014456,0.0014456,0.0014456
16,1845.15,0.54265,0.51781,0.93434,0.80463,0.6,0.74754,0.52927,1.29139,1.01917,1.30473,0.001406,0.001406,0.001406
